Configuration,Trial,Best Fitness,Worst Fitness
"p=100, e=0.90",1,267139.0,3037491.5
"p=100, e=0.90",2,315923.5,2648831.0
"p=100, e=0.90",3,273992.0,2717846.5
"p=100, e=0.90",4,306865.0,2965199.0
"p=100, e=0.90",5,302357.5,2844172.5
"p=100, e=0.60",1,298216.5,2626100.0
"p=100, e=0.60",2,274672.5,2760012.5
"p=100, e=0.60",3,183718.0,2693763.0
"p=100, e=0.60",4,274495.0,2773683.0
"p=100, e=0.60",5,170857.0,2449689.5
"p=10, e=0.90",1,93671.5,2663728.0
"p=10, e=0.90",2,71803.0,2522374.0
"p=10, e=0.90",3,113276.5,2693763.0
"p=10, e=0.90",4,89105.0,2465155.0
"p=10, e=0.90",5,74150.0,2365426.0
"p=10, e=0.60",1,354750.0,2441606.5
"p=10, e=0.60",2,278206.5,2272984.5
"p=10, e=0.60",3,173660.5,2336383.0
"p=10, e=0.60",4,146723.0,2768909.5
"p=10, e=0.60",5,223135.5,2256268.5
